timestamp,condition,cycle,t_hours,chi_kappa_t,amplitude_t,phi,gravity,cobb_angle,max_torsion,S_lat,max_curvature,U_CC,U_info,info_gain_ratio,runtime_sec
2026-02-19T21:19:01.753490,entrained,0,0.0,15.0,0.5,0.0,9.81,7.9963,1.658074,0.029268,37.6533,-0.509851,1.438037,1.549298,8.101
2026-02-19T21:19:02.469107,entrained,1,3.0,13.5355,0.5,0.0,9.81,8.0531,1.861074,0.028329,34.5106,-0.348997,1.186528,1.416698,0.715
2026-02-19T21:19:03.215471,entrained,2,6.0,10.0,0.5,0.0,9.81,8.2104,2.166092,0.026838,26.4049,-0.021824,0.666619,1.033846,0.746
2026-02-19T21:19:03.974676,entrained,3,9.0,6.4645,0.5,0.0,9.81,8.3376,1.999944,0.026204,17.4093,0.213374,0.283413,0.570492,0.759
2026-02-19T21:19:04.704584,entrained,4,12.0,5.0,0.5,0.0,9.81,8.3699,1.728454,0.02612,13.5031,0.282133,0.169863,0.375807,0.73
2026-02-19T21:19:05.449190,entrained,5,15.0,6.4645,0.5,0.0,9.81,8.3376,1.999944,0.026204,17.4093,0.213374,0.283413,0.570492,0.744
2026-02-19T21:19:06.243704,entrained,6,18.0,10.0,0.5,0.0,9.81,8.2104,2.166092,0.026838,26.4049,-0.021824,0.666619,1.033846,0.794
2026-02-19T21:19:07.032070,entrained,7,21.0,13.5355,0.5,0.0,9.81,8.0531,1.861074,0.028329,34.5106,-0.348997,1.186528,1.416698,0.788
2026-02-19T21:19:08.087254,jetlagged,0,0.0,5.0,0.5,3.1416,9.81,8.3699,1.728454,0.02612,13.5031,0.282133,0.169863,0.375807,1.055
2026-02-19T21:19:09.119624,jetlagged,1,3.0,6.4645,0.5,3.1416,9.81,8.3376,1.999944,0.026204,17.4093,0.213374,0.283413,0.570492,1.032
2026-02-19T21:19:10.115355,jetlagged,2,6.0,10.0,0.5,3.1416,9.81,8.2104,2.166092,0.026838,26.4049,-0.021824,0.666619,1.033846,0.996
2026-02-19T21:19:11.624533,jetlagged,3,9.0,13.5355,0.5,3.1416,9.81,8.0531,1.861074,0.028329,34.5106,-0.348997,1.186528,1.416698,1.509
2026-02-19T21:19:12.357310,jetlagged,4,12.0,15.0,0.5,3.1416,9.81,7.9963,1.658074,0.029268,37.6533,-0.509851,1.438037,1.549298,0.733
2026-02-19T21:19:13.067250,jetlagged,5,15.0,13.5355,0.5,3.1416,9.81,8.0531,1.861074,0.028329,34.5106,-0.348997,1.186528,1.416698,0.71
2026-02-19T21:19:13.791443,jetlagged,6,18.0,10.0,0.5,3.1416,9.81,8.2104,2.166092,0.026838,26.4049,-0.021824,0.666619,1.033846,0.724
2026-02-19T21:19:14.511974,jetlagged,7,21.0,6.4645,0.5,3.1416,9.81,8.3376,1.999944,0.026204,17.4093,0.213374,0.283413,0.570492,0.72
