uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
Q0VG99,MESP2,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q0VG99/Q0VG99.pdb,,5fad221d6f7e79c985b0773791471d3e0b900081498d0d67405d8d41c53aef24,2026-01-17 19:24:55,Restored from local archive
P15863,PAX1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P15863/P15863.pdb,,72c7e822acaebcf19614d6a61f1090b46486f10848745584f79ab7831df30a7d,2026-01-17 19:24:55,Restored from local archive
O95935,TBX6,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/O95935/O95935.pdb,,b19ef5259b900ce069dd12c8f769e302ded7884aa63527325dab728c632b3ef5,2026-01-17 19:24:55,Restored from local archive
Q9NYJ7,DLL3,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q9NYJ7/Q9NYJ7.pdb,,95a3767b1c477aa6de2a3006137f31df65870fa258a82e88e1cd2902c3811efb,2026-01-17 19:24:55,Restored from local archive
Q9LBK6,HES7,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q9LBK6/Q9LBK6.pdb,,5e7abc6ad69fdfd339b4961d9955047bdb5fbac0516c61740b675dcb8ddde1f5,2026-01-17 19:24:55,Restored from local archive
P02458,COL2A1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P02458/P02458.pdb,,bdf0fc4ee27ae94293c3b01f0fafebb7e0ed727bfe4ba3fb3e47b2f5191df667,2026-01-17 19:24:55,Restored from local archive
P46531,NOTCH1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P46531/P46531.pdb,,f3259360cec318a3ae1b830c2705df9e923f41bfd5e6f8a9a6acc83fd3dd5ff3,2026-01-17 19:24:55,Restored from local archive
P48436,SOX9,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P48436/P48436.pdb,,8d959d14a32258f5faebf7884127890650d082e0487f8efa754d932c726313c0,2026-01-17 19:24:55,Restored from local archive
Q04721,NOTCH2,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q04721/Q04721.pdb,,fd5bdb09b0b0ff92a34c354eecfbf7549d9ce10fb4fde1d527b2925aef30f483,2026-01-17 19:24:55,Restored from local archive
Q9HBA0,TRPV4,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q9HBA0/Q9HBA0.pdb,,158c4a0a5198230c35d0ca5b863d72eef6cf4eaac041d4f7d6efd2509bff7a44,2026-01-17 19:24:55,Restored from local archive
P41221,WNT5A,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P41221/P41221.pdb,,f979821dead4bef6a215f1026bc44bff017013ed9d5fea9e4b526065b9f685be,2026-01-17 19:24:55,Restored from local archive
Q13950,RUNX2,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q13950/Q13950.pdb,,4e7831da950c553ca9991fc59748aab90c4ab7a2440847403c80f435f84cd5f1,2026-01-17 19:24:55,Restored from local archive
P56704,WNT3A,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P56704/P56704.pdb,,f031757e87b4771dc2cf8e4a638de57a6541d66961af0a4969e2c4075346d72b,2026-01-17 19:24:55,Restored from local archive
Q96EB6,SIRT1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/Q96EB6/Q96EB6.pdb,,26f69c72f1020b1ceb018c185d33a23a6a9e22637f397da1188ee374fb133bc8,2026-01-17 19:24:55,Restored from local archive
P14653,HOXB1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P14653/P14653.pdb,,c1dd0bb9447fdc7276de3fb3b21114ae4192d4b018177d099d8828c68f3dacab,2026-01-17 19:24:55,Restored from local archive
P02452,COL1A1,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/P02452/P02452.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/P02452/P02452_pae.json,30a8cca1dad21b009ba25d556ed6343dd37e052bd27ffb3a7173673c97f5cc88,2026-01-20 21:41:17,
O15078,CEP290,downloaded,/app/research/alphafold_countercurvature/data/raw/afdb/O15078/O15078.pdb,/app/research/alphafold_countercurvature/data/raw/afdb/O15078/O15078_pae.json,a915b21ef4cd0902600e4e70fb14d36bbf553ff42bf0595ca632cddca75dba77,2026-01-20 21:41:20,
