Gene,Tier,Confidence_Score,Anisotropy,pLDDT_mean,pLDDT_frac_low,PAE_blockiness,Identity,Species,Length,pLDDT_median,pLDDT_frac_high,pLDDT_frac_ok,PAE_mean,Disorder_Proxy,Hinge_Cands,Rg,End_to_End,Curvature,Torsion,Principal_Axis,Hotspots,Exposed_Frac,Charged_Patch,Domains,Flags
GHR,Tier 2: Artifact Risk,0.19371,5.13,58.7,0.67,5.31,GHR (P10912),Homo sapiens,638,0.0,0.26,0.0699999999999999,25.83,0.5,54,31.36,63.25,0.2819,1.9819,"[-0.761, 0.080, 0.644]",266:0.38; 131:0.38; 163:0.38,0.8,0.2,3,"LowConf, MultiDomUncert, IDR_Heavy"
LMNA,Tier 2: Artifact Risk,0.52716,4.75,76.4,0.31,2.56,LMNA (P02545),Homo sapiens,664,93.1,0.58,0.11,24.9,0.26,0,71.2,278.1,0.344,1.194,"[-0.668, -0.244, 0.703]",508:0.40; 519:0.39; 30:0.38,0.87,0.4,3,MultiDomUncert
PIEZO2,Tier 1: High Confidence,0.62726,4.44,79.4,0.21,2.8,PIEZO2 (Q9H5I5),Homo sapiens,709,88.4,0.42,0.37,17.0,0.14,0,43.4,28.4,0.329,1.428,"[-0.687, -0.068, 0.724]",460:0.38; 239:0.38; 138:0.38,0.56,0.25,7,MultiDomUncert
EGR3,Tier 2: Artifact Risk,0.125,3.76,50.0,0.75,0.0,EGR3 (Q06889),Homo sapiens,387,37.9,0.13,0.11,25.9,0.64,2,18.5,42.9,0.331,1.631,"[-0.453, -0.341, 0.824]",226:0.38; 300:0.38; 323:0.38,0.87,0.54,1,LowConf
PLOD1,Tier 1: High Confidence,0.88065,3.4,92.7,0.05,2.31,PLOD1 (Q02809),Homo sapiens,727,96.1,0.88,0.08,7.7,0.03,1,34.7,81.0,0.309,1.683,"[-0.617, -0.153, 0.772]",685:0.39; 660:0.39; 458:0.38,0.3,0.43,3,OK
ARNTL,Tier 2: Artifact Risk,0.30799099999999996,3.32,65.53,0.53,3.59,ARNTL (O00327),Homo sapiens,626,0.0,0.34,0.1299999999999999,22.82,0.4,6,32.07,14.26,0.3149,1.6186,"[-0.577, 0.255, 0.776]",143:0.38; 191:0.38; 428:0.38,0.69,0.47,7,"LowConf, MultiDomUncert, IDR_Heavy"
LBX1,Tier 3: Comparator/Globular,0.26091000000000003,2.27,66.9,0.61,7.35,LBX1 (P52954),Homo sapiens,281,60.2,0.23,0.16,25.1,0.26,0,22.7,51.9,0.343,1.173,"[-0.222, -0.149, 0.964]",83:0.39; 37:0.39; 34:0.38,0.93,0.36,3,"LowConf, MultiDomUncert"
PPARGC1A,Tier 3: Comparator/Globular,0.11075399999999998,2.19,52.74,0.79,6.56,PPARGC1A (Q9UBK2),Homo sapiens,798,0.0,0.08,0.13,28.09,0.62,0,31.25,68.17,0.3342,1.3147,"[-0.885, 0.223, 0.409]",689:0.38; 697:0.38; 795:0.38,0.93,0.51,4,"LowConf, MultiDomUncert, IDR_Heavy"
RUNX3,Tier 3: Comparator/Globular,0.19391999999999995,2.06,60.6,0.68,0.0,RUNX3 (Q13761),Homo sapiens,415,46.3,0.28,0.04,25.6,0.56,12,15.8,53.0,0.284,1.965,"[-0.510, 0.008, 0.860]",159:0.39; 69:0.38; 54:0.38,0.78,0.37,1,LowConf
NTRK3,Tier 3: Comparator/Globular,0.55296,1.94,76.8,0.28,6.34,NTRK3 (Q16288),Homo sapiens,839,88.8,0.47,0.25,22.2,0.2,9,32.5,42.5,0.303,1.829,"[-0.157, -0.071, 0.985]",328:0.42; 236:0.40; 592:0.39,0.41,0.32,10,MultiDomUncert
NF1,Tier 3: Comparator/Globular,0.77608,1.93,87.2,0.11,2.42,NF1 (P21359),Homo sapiens,593,93.2,0.68,0.21,9.5,0.07,1,26.1,40.7,0.35,1.116,"[-0.387, -0.133, 0.912]",221:0.38; 178:0.38; 274:0.38,0.34,0.37,6,OK
OTOP1,Tier 3: Comparator/Globular,0.51476,1.75,75.7,0.32,1.83,OTOP1 (Q7RTM1),Homo sapiens,612,86.9,0.4,0.28,16.2,0.23,0,22.6,10.3,0.356,0.967,"[0.840, 0.540, 0.055]",255:0.39; 88:0.38; 554:0.38,0.46,0.19,7,MultiDomUncert
MYLK,Tier 3: Comparator/Globular,0.40168499999999996,1.46,65.85,0.39,8.29,MYLK (Q15746),Homo sapiens,1914,0.0,0.18,0.43,26.6,0.35,31,41.5,56.78,0.2766,2.0756,"[-0.262, -0.391, 0.882]",1835:0.42; 59:0.41; 649:0.41,0.53,0.4,28,"LowConf, MultiDomUncert, IDR_Heavy"
IGF1R,Tier 3: Comparator/Globular,0.5851500000000001,1.43,78.02,0.25,5.85,IGF1R (P08069),Homo sapiens,1367,0.0,0.44,0.31,23.59,0.16,35,43.2,53.58,0.2975,1.7991,"[-0.397, 0.016, 0.918]",34:0.41; 1073:0.40; 44:0.38,0.42,0.35,16,MultiDomUncert
DMD,Tier 3: Comparator/Globular,0.48863999999999996,1.32,76.35,0.36,6.91,DMD (P11532),Homo sapiens,525,0.0,0.46,0.18,19.01,0.18,1,22.82,48.85,0.3397,1.3283,"[-0.696, -0.170, 0.698]",251:0.39; 14:0.39; 53:0.38,0.55,0.37,2,MultiDomUncert
